130625,徐水区,3,徐水,Xushui,130600,72550,39.02099,115.65829,10412,,1017,101090204,54601,1,xu shui,X,XS
130626,定兴县,3,定兴,Dingxing,130600,72650,39.26312,115.80786,10429,,1017,101090223,54509,1,ding xing,D,DX
130627,唐县,3,唐县,Tangxian,130600,72350,38.74513,114.98516,10413,,1017,101090205,53692,1,tang xian,T,TX
130628,高阳县,3,高阳,Gaoyang,130600,71500,38.70003,115.7788,10414,,1017,101090206,54603,1,gao yang,G,GY
130629,容城县,3,容城,Rongcheng,130600,71700,39.0535,115.87158,10415,,1017,101090207,54503,1,rong cheng,R,RC
130630,涞源县,3,涞源,Laiyuan,130600,74300,39.35388,114.69128,10416,,1017,101090209,53599,1,lai yuan,L,LY
130631,望都县,3,望都,Wangdu,130600,72450,38.70996,115.1567,10417,,1017,101090210,54607,1,wang dou,W,WD
130632,安新县,3,安新,Anxin,130600,71600,38.93532,115.93557,10418,,1017,101090211,54605,1,an xin,A,AX
130633,易县,3,易县,Yixian,130600,74200,39.34885,115.4981,10419,,1017,101090212,54507,1,yi xian,Y,YX
130634,曲阳县,3,曲阳,Quyang,130600,73100,38.62154,114.70123,10420,,1017,101090214,53682,1,qu yang,Q,QY
130635,蠡县,3,蠡县,Lixian,130600,71400,38.48974,115.57717,10421,,1017,101090215,54620,1,li xian,L,LX
130636,顺平县,3,顺平,Shunping,130600,72250,38.83854,115.1347,10422,,1017,101090216,53596,1,shun ping,S,SP
130637,博野县,3,博野,Boye,130600,71300,38.4564,115.47033,10431,,1017,101090225,54600,1,bo ye,B,BY
130638,雄县,3,雄县,Xiongxian,130600,71800,38.99442,116.10873,10423,,1017,101090217,54636,1,xiong xian,X,XX
130681,涿州市,3,涿州,Zhuozhou,130600,72750,39.48622,115.98062,10424,,1017,101090218,54502,1,zhuo zhou,Z,ZZ
130682,定州市,3,定州,Dingzhou,130600,73000,38.51623,114.9902,10425,,1017,101090219,53696,1,ding zhou,D,DZ
130683,安国市,3,安国,Anguo,130600,71200,38.41391,115.32321,10426,,1017,101090220,54604,1,an guo,A,AG
130684,高碑店市,3,高碑店,Gaobeidian,130600,74000,39.32655,115.87368,10427,,1017,101090221,54506,1,gao bei dian,G,GBD
130700,张家口市,2,张家口,Zhangjiakou,130000,75000,40.811901,114.884091,10432,,1017,101090301,54401,1,zhang jia kou,Z,ZJK
130702,桥东区,3,桥东,Qiaodong,130700,75000,40.78844,114.8943,10432,,1017,,,0,qiao dong,Q,QD
130703,桥西区,3,桥西,Qiaoxi,130700,75000,40.81945,114.86962,10432,,1017,,,0,qiao xi,Q,QX
130705,宣化区,3,宣化,Xuanhua,130700,75000,40.60957,115.06543,10433,,1017,101090302,53498,1,xuan hua,X,XH
130706,下花园区,3,下花园,Xiahuayuan,130700,75300,40.50236,115.28744,10432,,1017,,,0,xia hua yuan,X,XHY
130721,宣化县,3,宣化,Xuanhua,130700,75100,40.56618,115.15497,10432,,1017,,,0,xuan hua,X,XH
130722,张北县,3,张北,Zhangbei,130700,76450,41.15977,114.71432,10434,,1017,101090303,53399,1,zhang bei,Z,ZB
130723,康保县,3,康保,Kangbao,130700,76650,41.85225,114.60031,10435,,1017,101090304,53392,1,kang bao,K,KB
130724,沽源县,3,沽源,Guyuan,130700,76550,41.66959,115.68859,10436,,1017,101090305,54301,1,gu yuan,G,GY
130725,尚义县,3,尚义,Shangyi,130700,76750,41.07782,113.97134,10437,,1017,101090306,53397,1,shang yi,S,SY
130726,蔚县,3,蔚县,Yuxian,130700,75700,39.84067,114.58892,10438,,1017,101090307,53593,1,wei xian,W,WX
130727,阳原县,3,阳原,Yangyuan,130700,75800,40.10361,114.15051,10439,,1017,101090308,53492,1,yang yuan,Y,YY
130728,怀安县,3,怀安,"Huai'an",130700,76150,40.67425,114.38559,10440,,1017,101090309,53491,1,huai an,H,HA
130729,万全县,3,万全,Wanquan,130700,76250,40.76694,114.7405,10441,,1017,101090310,53499,1,wan quan,W,WQ
130730,怀来县,3,怀来,Huailai,130700,75400,40.41536,115.51773,10442,,1017,101090311,54405,1,huai lai,H,HL
